"year_end","team_id","fran_id","elo_n"
1991,"BKN","Nets",1319.4382
1991,"ORL","Magic",1257.8463
1991,"CHA","Hornets",1390.4257
1991,"NYK","Knicks",1476.0542
1991,"PHI","Sixers",1545.505
1991,"BOS","Celtics",1591.5482
1991,"PHO","Suns",1618.2152
1991,"LAL","Lakers",1636.8909
1991,"SAS","Spurs",1623.8239
1991,"DAL","Mavericks",1489.6309
1991,"POR","Trailblazers",1658.2916
1991,"OKC","Thunder",1442.043
1991,"DET","Pistons",1671.7393
1991,"WAS","Wizards",1382.8174
1991,"IND","Pacers",1434.4208
1991,"MIL","Bucks",1531.7457
1991,"MIN","Timberwolves",1370.4347
1991,"LAC","Clippers",1410.3929
1991,"POR","Trailblazers",1660.8341
1991,"UTA","Jazz",1549.8547
1991,"OKC","Thunder",1434.5344
1991,"BOS","Celtics",1599.0568
1991,"WAS","Wizards",1375.8306
1991,"UTA","Jazz",1556.8416
1991,"CHI","Bulls",1667.4843
1991,"PHO","Suns",1606.5338
1991,"DEN","Nuggets",1385.3646
1991,"CLE","Cavaliers",1516.1604
1991,"HOU","Rockets",1537.3364
1991,"ATL","Hawks",1458.1254
1991,"LAL","Lakers",1651.3098
1991,"DET","Pistons",1657.3203
1991,"POR","Trailblazers",1662.7256
1991,"MIA","Heat",1319.7727
1991,"MIN","Timberwolves",1374.6461
1991,"IND","Pacers",1430.2094
1991,"BKN","Nets",1326.1179
1991,"OKC","Thunder",1427.8547
1991,"ORL","Magic",1283.3119
1991,"NYK","Knicks",1450.5886
1991,"MIL","Bucks",1529.2124
1991,"PHI","Sixers",1548.0383
1991,"DAL","Mavericks",1467.7086
1991,"SAC","Kings",1324.5846
1991,"BOS","Celtics",1601.1057
1991,"DEN","Nuggets",1383.3157
1991,"GSW","Warriors",1488.6802
1991,"WAS","Wizards",1390.7264
1991,"PHO","Suns",1597.4183
1991,"IND","Pacers",1439.3248
1991,"DAL","Mavericks",1462.3407
1991,"LAC","Clippers",1415.7609
1991,"CLE","Cavaliers",1512.1838
1991,"MIL","Bucks",1533.189
1991,"POR","Trailblazers",1665.3796
1991,"ORL","Magic",1280.6578
1991,"ATL","Hawks",1468.2124
1991,"SAS","Spurs",1613.7368
1991,"DET","Pistons",1640.3429
1991,"UTA","Jazz",1573.819
1991,"CHA","Hornets",1387.9144
1991,"HOU","Rockets",1539.8477
1991,"OKC","Thunder",1432.5439
1991,"MIA","Heat",1315.0835
1991,"LAL","Lakers",1656.1401
1991,"MIN","Timberwolves",1369.8158
1991,"WAS","Wizards",1377.3381
1991,"SAC","Kings",1337.9729
1991,"MIL","Bucks",1537.7651
1991,"ATL","Hawks",1463.6362
1991,"NYK","Knicks",1448.2883
1991,"CHI","Bulls",1669.7845
1991,"DAL","Mavericks",1454.5129
1991,"BOS","Celtics",1608.9335
1991,"GSW","Warriors",1495.3727
1991,"DET","Pistons",1633.6504
1991,"IND","Pacers",1428.9491
1991,"POR","Trailblazers",1675.7554
1991,"PHO","Suns",1604.9727
1991,"BKN","Nets",1318.5636
1991,"ORL","Magic",1289.9214
1991,"OKC","Thunder",1423.2804
1991,"DEN","Nuggets",1380.4417
1991,"PHI","Sixers",1550.9124
1991,"UTA","Jazz",1590.2072
1991,"LAL","Lakers",1639.752
1991,"NYK","Knicks",1440.6638
1991,"ATL","Hawks",1471.2607
1991,"CHA","Hornets",1375.9507
1991,"DEN","Nuggets",1392.4054
1991,"CHI","Bulls",1657.3727
1991,"POR","Trailblazers",1688.1672
1991,"HOU","Rockets",1548.0023
1991,"DAL","Mavericks",1446.3583
1991,"CLE","Cavaliers",1499.5392
1991,"IND","Pacers",1441.5938
1991,"LAC","Clippers",1408.0338
1991,"UTA","Jazz",1597.9342
1991,"PHO","Suns",1607.3987
1991,"ORL","Magic",1287.4954
1991,"DET","Pistons",1638.3123
1991,"SAC","Kings",1333.311
1991,"BOS","Celtics",1603.8881
1991,"SAS","Spurs",1618.7822
1991,"WAS","Wizards",1375.8976
1991,"LAL","Lakers",1641.1925
1991,"MIL","Bucks",1540.74
1991,"OKC","Thunder",1420.3055
