"year_end","player","team_id","G","GS","MP","PER","TS.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","PTS","id","salary","sal_per_min","sal_per_WS","sal_per_BPM","sal_per_PTS","sal_per_PER","sal_per_VORP","sal_per_USG"
1991,"B.J. Armstrong","CHI",82,0,1731,14.8,0.529,19.5,2.3,1.8,4.1,0.114,-0.4,-1.4,-1.8,0.1,720,"B.J. Armstrong-1991-CHI",425000,245.522819179665,103658.536585366,-236111.111111111,590.277777777778,28716.2162162162,4250000,21794.8717948718
1991,"Keith Askins","MIA",39,1,266,13.5,0.467,15.8,0.2,0.4,0.6,0.103,-0.6,2,1.4,0.2,86,"Keith Askins-1991-MIA",150000,563.90977443609,250000,107142.857142857,1744.18604651163,11111.1111111111,750000,9493.67088607595
1991,"Milos Babic","CLE",12,0,52,6,0.391,24.6,-0.1,0,-0.1,-0.085,-6,-2.6,-8.6,-0.1,19,"Milos Babic-1991-CLE",2e+05,3846.15384615385,-2e+06,-23255.8139534884,10526.3157894737,33333.3333333333,-2e+06,8130.08130081301
1991,"Thurl Bailey","UTA",82,22,2486,12.5,0.513,20,0.6,3.1,3.7,0.072,-2.4,1.2,-1.2,0.5,1017,"Thurl Bailey-1991-UTA",1e+06,402.252614641995,270270.27027027,-833333.333333333,983.284169124877,80000,2e+06,50000
1991,"Ken Bannister","LAC",47,3,339,7.8,0.506,16.1,-0.2,0.4,0.2,0.028,-5,-1.2,-6.3,-0.4,111,"Ken Bannister-1991-LAC",4e+05,1179.94100294985,2e+06,-63492.0634920635,3603.6036036036,51282.0512820513,-1e+06,24844.7204968944
1991,"Charles Barkley","PHI",67,67,2498,28.9,0.635,29.1,10.3,3.1,13.4,0.258,9,0.9,9.9,7.4,1849,"Charles Barkley-1991-PHI",2900000,1160.9287429944,216417.910447761,292929.292929293,1568.41535965387,100346.020761246,391891.891891892,99656.3573883161
1991,"Dana Barros","OKC",66,0,750,18.8,0.6,22.5,2.1,0.4,2.5,0.158,3,-3.2,-0.2,0.3,418,"Dana Barros-1991-OKC",5e+05,666.666666666667,2e+05,-2500000,1196.17224880383,26595.7446808511,1666666.66666667,22222.2222222222
1991,"John Battle","ATL",79,2,1863,16.4,0.538,24.7,3.4,0.6,4,0.102,0.7,-3.1,-2.4,-0.2,1078,"John Battle-1991-ATL",590000,316.693505099302,147500,-245833.333333333,547.309833024119,35975.6097560976,-2950000,23886.6396761134
1991,"Kenny Battle","DEN",56,8,945,12.4,0.525,14.7,0.7,0.6,1.3,0.068,-1.1,0.4,-0.7,0.3,339,"Kenny Battle-1991-DEN",350000,370.37037037037,269230.769230769,-5e+05,1032.44837758112,28225.8064516129,1166666.66666667,23809.5238095238
1991,"William Bedford","DET",60,4,562,15.5,0.492,24.1,0.5,0.8,1.3,0.113,-1.6,0.2,-1.4,0.1,272,"William Bedford-1991-DET",850000,1512.45551601423,653846.153846154,-607142.857142857,3125,54838.7096774194,8500000,35269.7095435685
1991,"Benoit Benjamin","OKC",70,65,2236,15.1,0.541,21,-0.7,3.7,3,0.064,-3.5,2.3,-1.1,0.5,982,"Benoit Benjamin-1991-OKC",1750000,782.647584973166,583333.333333333,-1590909.09090909,1782.07739307536,115894.039735099,3500000,83333.3333333333
1991,"Winston Bennett","CLE",27,13,334,9.2,0.45,19.3,0,0.2,0.2,0.026,-3.2,-1.4,-4.6,-0.2,115,"Winston Bennett-1991-CLE",525000,1571.85628742515,2625000,-114130.434782609,4565.21739130435,57065.2173913044,-2625000,27202.0725388601
1991,"Larry Bird","BOS",60,60,2277,19.7,0.53,23.7,3,3.6,6.6,0.14,2.4,2.3,4.7,3.8,1164,"Larry Bird-1991-BOS",1500000,658.761528326746,227272.727272727,319148.936170213,1288.65979381443,76142.1319796954,394736.842105263,63291.1392405063
1991,"Rolando Blackman","DAL",80,80,2965,16.6,0.545,24.2,4.4,1,5.5,0.089,1.5,-2.1,-0.6,1.1,1590,"Rolando Blackman-1991-DAL",1650000,556.492411467116,3e+05,-2750000,1037.7358490566,99397.5903614458,1500000,68181.8181818182
