"player","salary","year_end","team_id","fran_id"
"Al-Farouq Aminu",981084,2015,"DAL","Mavericks"
"Al-Farouq Aminu",7500000,2016,"POR","Trailblazers"
"Al-Farouq Aminu",7680965,2017,"POR","Trailblazers"
"Al-Farouq Aminu",7319035,2018,"POR","Trailblazers"
"Alfonzo McKinnie",815615,2018,"TOR","Raptors"
"Allan Houston",736000,1994,"DET","Pistons"
"Allan Houston",956000,1995,"DET","Pistons"
"Allan Houston",5e+06,1997,"NYK","Knicks"
"Allan Houston",6e+06,1998,"NYK","Knicks"
"Allan Houston",7e+06,1999,"NYK","Knicks"
"Allan Houston",12750000,2002,"NYK","Knicks"
"Allan Houston",14343750,2003,"NYK","Knicks"
"Allan Houston",15937500,2004,"NYK","Knicks"
"Allan Houston",17531250,2005,"NYK","Knicks"
"Allan Houston",19125000,2006,"NYK","Knicks"
"Allen Crabbe",862000,2015,"POR","Trailblazers"
"Allen Crabbe",947276,2016,"POR","Trailblazers"
"Allen Crabbe",18500000,2017,"POR","Trailblazers"
"Allen Crabbe",19332500,2018,"BKN","Nets"
"Allen Iverson",2267000,1997,"PHI","Sixers"
"Allen Iverson",3128640,1998,"PHI","Sixers"
"Allen Iverson",3537000,1999,"PHI","Sixers"
"Allen Iverson",9e+06,2000,"PHI","Sixers"
"Allen Iverson",11250000,2002,"PHI","Sixers"
"Allen Iverson",14625000,2005,"PHI","Sixers"
"Allen Iverson",16453125,2006,"PHI","Sixers"
"Allen Iverson",19012500,2008,"DEN","Nuggets"
"Allen Iverson",20840625,2009,"DET","Pistons"
"Allen Iverson",1029794,2010,"PHI","Sixers"
"Allen Iverson",161386,2010,"MEM","Grizzlies"
"Alonzo Gee",479735,2011,"CLE","Cavaliers"
"Alonzo Gee",125538,2011,"WAS","Wizards"
"Alonzo Gee",76219,2011,"SAS","Spurs"
"Alonzo Gee",854389,2012,"CLE","Cavaliers"
"Alonzo Gee",3500000,2013,"CLE","Cavaliers"
"Alonzo Gee",3250000,2014,"CLE","Cavaliers"
"Alonzo Gee",1063384,2015,"POR","Trailblazers"
"Alonzo Gee",1375000,2016,"NOP","Pelicans"
"Alonzo Gee",1400000,2017,"NOP","Pelicans"
"Alonzo Gee",495227,2017,"DEN","Nuggets"
"Alonzo Mourning",2400000,1993,"CHA","Hornets"
"Alonzo Mourning",3120000,1994,"CHA","Hornets"
"Alonzo Mourning",3840000,1995,"CHA","Hornets"
"Alonzo Mourning",4560000,1996,"MIA","Heat"
"Alonzo Mourning",9380000,1997,"MIA","Heat"
"Alonzo Mourning",13130000,1999,"MIA","Heat"
"Alonzo Mourning",16880000,2001,"MIA","Heat"
"Alonzo Mourning",18754800,2002,"MIA","Heat"
"Alonzo Mourning",20629800,2003,"MIA","Heat"
"Alonzo Mourning",4917000,2004,"BKN","Nets"
"Alonzo Mourning",5408700,2005,"TOR","Raptors"
"Alonzo Mourning",4e+06,2006,"TOR","Raptors"
"Alonzo Mourning",1138500,2006,"MIA","Heat"
"Alonzo Mourning",4225433,2007,"TOR","Raptors"
"Alonzo Mourning",2762500,2008,"MIA","Heat"
"Alton Ford",332817,2002,"PHO","Suns"
"Alton Ford",512435,2003,"PHO","Suns"
"Alton Ford",586082,2004,"HOU","Rockets"
"Alton Lister",1700000,1991,"GSW","Warriors"
"Alton Lister",1333000,1992,"GSW","Warriors"
"Alton Lister",1283000,1993,"GSW","Warriors"
"Alton Lister",150000,1995,"MIL","Bucks"
"Alton Lister",3e+05,1996,"BOS","Celtics"
"Alton Lister",5e+05,1997,"BOS","Celtics"
"Alton Lister",272250,1998,"POR","Trailblazers"
"Alvin Jones",332817,2002,"PHI","Sixers"
"Alvin Robertson",870000,1991,"MIL","Bucks"
"Alvin Robertson",1033000,1992,"MIL","Bucks"
"Alvin Robertson",1283000,1993,"MIL","Bucks"
"Alvin Robertson",1408000,1994,"DEN","Nuggets"
"Alvin Robertson",225000,1996,"TOR","Raptors"
"Alvin Williams",242000,1998,"POR","Trailblazers"
"Alvin Williams",1925000,2000,"TOR","Raptors"
"Alvin Williams",2100000,2001,"TOR","Raptors"
"Alvin Williams",5350000,2002,"TOR","Raptors"
"Alvin Williams",5350000,2003,"TOR","Raptors"
"Alvin Williams",5500000,2004,"TOR","Raptors"
"Alvin Williams",5850000,2005,"TOR","Raptors"
"Alvin Williams",6300000,2006,"TOR","Raptors"
"Alvin Williams",4483516,2007,"TOR","Raptors"
"Alvin Williams",103992,2007,"LAC","Clippers"
"Alvin Williams",4516484,2008,"TOR","Raptors"
"Amal McCaskill",220000,1997,"ORL","Magic"
"Amal McCaskill",20700,1998,"ORL","Magic"
"Amal McCaskill",465850,2002,"SAS","Spurs"
"Amal McCaskill",699935,2003,"POR","Trailblazers"
"Amal McCaskill",143277,2003,"ATL","Hawks"
"Amal McCaskill",932546,2005,"DET","Pistons"
"Amar\'e Stoudemire",1767120,2003,"PHO","Suns"
"Amar\'e Stoudemire",1899720,2004,"PHO","Suns"
"Amar\'e Stoudemire",2032200,2005,"PHO","Suns"
"Amar\'e Stoudemire",12455000,2007,"PHO","Suns"
"Amar\'e Stoudemire",13762775,2008,"PHO","Suns"
"Amar\'e Stoudemire",15070550,2009,"PHO","Suns"
"Amar\'e Stoudemire",16378325,2010,"PHO","Suns"
"Amar\'e Stoudemire",16486611,2011,"NYK","Knicks"
"Amar\'e Stoudemire",18217705,2012,"NYK","Knicks"
"Amar\'e Stoudemire",19948799,2013,"NYK","Knicks"
"Amar\'e Stoudemire",21679893,2014,"NYK","Knicks"
"Amar\'e Stoudemire",23410988,2015,"NYK","Knicks"
"Amar\'e Stoudemire",485670,2015,"DAL","Mavericks"
"Amar\'e Stoudemire",1499187,2016,"MIA","Heat"
"Amir Johnson",398762,2006,"DET","Pistons"
"Amir Johnson",664209,2007,"DET","Pistons"
"Amir Johnson",3666666,2008,"DET","Pistons"
"Amir Johnson",3666667,2009,"DET","Pistons"
"Amir Johnson",3666666,2010,"TOR","Raptors"
"Amir Johnson",5e+06,2011,"TOR","Raptors"
"Amir Johnson",5500000,2012,"TOR","Raptors"
"Amir Johnson",6e+06,2013,"TOR","Raptors"
"Amir Johnson",6500000,2014,"TOR","Raptors"
"Amir Johnson",7e+06,2015,"TOR","Raptors"
"Amir Johnson",1.2e+07,2016,"BOS","Celtics"
"Amir Johnson",1.2e+07,2017,"BOS","Celtics"
"Amir Johnson",1.1e+07,2018,"PHI","Sixers"
"Anderson Varejao",788000,2005,"CLE","Cavaliers"
"Anderson Varejao",866800,2006,"CLE","Cavaliers"
"Anderson Varejao",945600,2007,"CLE","Cavaliers"
"Anderson Varejao",5356000,2008,"CLE","Cavaliers"
"Anderson Varejao",5784480,2009,"CLE","Cavaliers"
"Anderson Varejao",6300000,2010,"CLE","Cavaliers"
"Anderson Varejao",7281818,2011,"CLE","Cavaliers"
"Anderson Varejao",7700000,2012,"CLE","Cavaliers"
"Anderson Varejao",8368182,2013,"CLE","Cavaliers"
"Anderson Varejao",9036364,2014,"CLE","Cavaliers"
"Anderson Varejao",9704595,2015,"CLE","Cavaliers"
"Anderson Varejao",9638554,2016,"POR","Trailblazers"
"Anderson Varejao",458575,2016,"GSW","Warriors"
"Anderson Varejao",1984005,2017,"POR","Trailblazers"
"Anderson Varejao",1551659,2017,"GSW","Warriors"
"Anderson Varejao",1913345,2018,"POR","Trailblazers"
"Andrae Patterson",287500,1999,"MIN","Timberwolves"
"Andrae Patterson",385000,2000,"MIN","Timberwolves"
"Andrae Patterson",498500,2001,"MIN","Timberwolves"
"Andray Blatche",398762,2006,"WAS","Wizards"
"Andray Blatche",664209,2007,"WAS","Wizards"
"Andray Blatche",2470000,2008,"WAS","Wizards"
"Andray Blatche",2739669,2009,"WAS","Wizards"
