"player","salary","year_end","team_id","fran_id","cap","per_cap","sal_2020"
"Al Harrington",1399507,2014,"WAS","Wizards",58679000,0.0238502189880536,2603012.90035618
"Al Harrington",3805000,2015,"ORL","Magic",63065000,0.0603345754380401,6584915.5633077
"Al Horford",3745800,2008,"ATL","Hawks",55630000,0.0673341722092396,7348851.55491641
"Al Horford",4026720,2009,"ATL","Hawks",58680000,0.0686216768916155,7489369.81595092
"Al Horford",4307640,2010,"ATL","Hawks",57700000,0.0746558058925477,8147934.65511265
"Al Horford",5444857,2011,"ATL","Hawks",58044000,0.0938056818964923,10237952.1221832
"Al Horford",1.2e+07,2012,"ATL","Hawks",58044000,0.206739714699194,22563572.46227
"Al Horford",1.2e+07,2013,"ATL","Hawks",58044000,0.206739714699194,22563572.46227
"Al Horford",1.2e+07,2014,"ATL","Hawks",58679000,0.204502462550487,22319398.7627601
"Al Horford",1.2e+07,2015,"ATL","Hawks",63065000,0.190279869975422,20767145.0091176
"Al Horford",1.2e+07,2016,"ATL","Hawks",7e+07,0.171428571428571,18709714.2857143
"Al Horford",26540100,2017,"BOS","Celtics",94143000,0.281912622287371,30767943.5964437
"Al Horford",27734405,2018,"BOS","Celtics",99093000,0.279882585046371,30546385.3319609
"Al Jefferson",1407240,2005,"BOS","Celtics",43870000,0.0320775017095965,3500938.53658537
"Al Jefferson",1512840,2006,"BOS","Celtics",49500000,0.0305624242424242,3335582.98181818
"Al Jefferson",2480885,2008,"MIN","Timberwolves",55630000,0.0445961711306849,4867226.11720295
"Al Jefferson",1.1e+07,2009,"MIN","Timberwolves",58680000,0.187457396046353,20459100.204499
"Al Jefferson",1.2e+07,2010,"MIN","Timberwolves",57700000,0.207972270363951,22698093.5875217
"Al Jefferson",1.3e+07,2011,"UTA","Jazz",58044000,0.22396802425746,24443870.1674592
"Al Jefferson",1.4e+07,2012,"UTA","Jazz",58044000,0.241196333815726,26324167.8726483
"Al Jefferson",1.5e+07,2013,"UTA","Jazz",58044000,0.258424643373992,28204465.5778375
"Al Jefferson",13833333,2016,"CHA","Hornets",7e+07,0.197619042857143,21568142.3374286
"Al Jefferson",10230179,2017,"IND","Pacers",94143000,0.108666379868923,11859848.6988942
"Al Jefferson",9769821,2018,"IND","Pacers",99093000,0.0985924434622022,10760379.2794647
"Al Thornton",1652280,2008,"LAC","Clippers",55630000,0.0297012403379471,3241593.37048355
"Al Thornton",1776240,2009,"LAC","Clippers",58680000,0.0302699386503067,3303661.10429448
"Al Thornton",1900200,2010,"WAS","Wizards",57700000,0.0329324090121317,3594243.11958406
"Al Thornton",2814196,2011,"WAS","Wizards",58044000,0.0484838398456343,5291526.28075253
"Alaa Abdelnaby",395000,1991,"POR","Trailblazers",11871000,0.033274366102266,3631564.31640131
"Alaa Abdelnaby",494000,1992,"POR","Trailblazers",12500000,0.03952,4313212.8
